,g
2024-11-25,-0.021540558902837126
2024-11-26,0.009975980086032059
2024-11-27,-0.05637233257290229
2024-11-29,-0.048132880580006476
2024-12-02,-0.08024856728175722
2024-12-03,-0.05817691284297477
2024-12-04,-0.04381107857861649
2024-12-05,-0.06335501455310849
2024-12-06,-0.0013598193648778345
2024-12-09,-0.06404826155724425
2024-12-10,-0.0423775025191967
2024-12-11,-0.054572972668934405
2024-12-12,-0.008382557761898501
2024-12-13,-0.012146115499073629
2024-12-16,-0.03567128731109254
2024-12-17,-0.029238179571510925
2024-12-18,-0.03555123960308737
2024-12-19,-0.08999411846352243
2024-12-20,-0.08258290051059697
2024-12-23,-0.04818939324946961
2024-12-24,-0.07030211333317868
2024-12-26,-0.09733134076432559
2024-12-27,-0.12318523938931525
2024-12-30,-0.048680266835678
2024-12-31,-0.09139744735187483
2025-01-02,-0.07597813303156536
2025-01-03,-0.12481188452530467
2025-01-06,-0.0942661123322544
2025-01-07,-0.19487979571675862
2025-01-08,-0.12561547113613908
2025-01-10,-0.14735522766699355
2025-01-13,-0.1609314336002373
2025-01-14,-0.15110840697753267
2025-01-15,-0.10912879196936576
2025-01-16,-0.15066961175315155
2025-01-17,-0.18178654268486158
2025-01-21,-0.1628549735483478
2025-01-22,-0.1015427433867756
2025-01-23,-0.14020003842515083
2025-01-24,-0.1478875128749476
2025-01-27,-0.04839776941710672
2025-01-28,-0.07166104609220988
2025-01-29,-0.0393548812846346
2025-01-30,-0.03663612211863121
2025-01-31,-0.06501124103077727
2025-02-03,-0.09459939560257177
2025-02-04,-0.13237470191815254
2025-02-05,-0.15668950899071232
2025-02-06,-0.05547193776541312
2025-02-07,-0.11782275995244776
2025-02-10,-0.15945098139704095
2025-02-11,-0.10763635830555435
2025-02-12,-0.07952887393639163
2025-02-13,-0.0635849971743497
2025-02-14,-0.0485587244741964
2025-02-18,-0.013640000494574728
2025-02-19,-0.06324084445733885
2025-02-20,-0.028067899164925497
2025-02-21,-0.07004585887552736
2025-02-24,-0.032760630694454076
2025-02-25,-0.045793826370135904
2025-02-26,-0.00014736559322403586
2025-02-27,-0.0419811903989942
2025-02-28,0.0056566911586235225
2025-03-03,-0.01953650135945373
2025-03-04,0.05614238220482343
2025-03-05,-0.0013164974527151707
2025-03-06,0.0015604750083170194
2025-03-07,0.021626142662065084
2025-03-10,-0.0010258993662697335
2025-03-11,0.014638821666519586
2025-03-12,0.029037194601717053
2025-03-13,0.03267875047200075
2025-03-14,0.05864142260989308
2025-03-17,0.08090052196633091
2025-03-18,0.08603438605646196
2025-03-19,0.04030095859440874
2025-03-20,0.10774556648530226
2025-03-21,0.09394773094542042
2025-03-24,0.1380919884833655
2025-03-25,0.06995662846907774
2025-03-26,0.05718479162234541
2025-03-27,0.09285541745832349
2025-03-28,0.10659254268626528
2025-03-31,0.09973079772380367
2025-04-01,0.031167672388588752
2025-04-02,0.024406503358391785
2025-04-03,-0.01371060307380867
2025-04-04,-0.06680177229716067
2025-04-07,-0.07469576180604465
2025-04-08,-0.051765027459988455
2025-04-09,0.003920911161148788
2025-04-10,-0.03025827633438294
2025-04-11,-0.024004852216438
2025-04-14,-0.022610610595351188
2025-04-15,0.0022090716787716014
2025-04-16,-0.054764915974623185
2025-04-17,-0.02482889850928449
2025-04-21,-0.05249066528750612
2025-04-22,0.030100625078314347
2025-04-23,-0.022931647162496294
2025-04-24,-0.0062548250589178345
2025-04-25,-0.0011168717632911718
2025-04-28,0.036112134938473095
2025-04-29,0.0034012137563035894
2025-04-30,0.014971109183650522
2025-05-01,-0.027277376256307162
2025-05-02,0.014554796156970251
2025-05-05,-0.006187251403553695
2025-05-06,0.06531594918055655
2025-05-07,0.023284712171841415
2025-05-08,0.02099529587511917
2025-05-09,0.025838014470563553
2025-05-12,0.024249265550504717
2025-05-13,0.018834565323440244
2025-05-14,0.027540758472846594
2025-05-15,0.023802593234689196
2025-05-16,-0.029248696566449073
2025-05-19,-0.062370630888411493
2025-05-20,-0.006722250973816735
2025-05-21,0.016296978823291508
2025-05-22,-0.02027225150792722
2025-05-23,-0.02116220348365061
2025-05-27,-0.002752617802979973
2025-05-28,-0.03487393026464686
2025-05-29,-0.031228831031945792
2025-05-30,-0.0904793409360452
2025-06-02,-0.04749036748258867
2025-06-03,0.05641277529729283
2025-06-04,-0.027127108550393103
2025-06-05,-0.09511630411253658
2025-06-06,-0.031187419402723293
2025-06-09,-0.01213124168583668
2025-06-10,-0.03848883748820303
2025-06-11,-0.09978472393311683
2025-06-12,-0.06079989604897418
2025-06-13,0.005136777618120925
2025-06-16,-0.015649772231837666
2025-06-17,-0.047332820920167634
2025-06-18,-0.015234545441136449
2025-06-20,0.03752383415662752
2025-06-23,-0.0033263399572360797
2025-06-24,-0.0358748165624157
2025-06-25,-0.03275679431468986
2025-06-26,0.02037349470970523
2025-06-27,-0.01095873155325347
2025-06-30,-0.019676591112553876
2025-07-01,0.010632313313235553
2025-07-02,0.03860225162920816
2025-07-03,0.04529327229825775
2025-07-07,0.017850118593527503
2025-07-08,0.0254481585555478
2025-07-09,0.006266250410021601
2025-07-10,0.007579956325074577
2025-07-11,-0.0189823071421939
2025-07-14,0.002673682787513898
2025-07-15,0.05100637861098106
2025-07-16,0.037007449068089726
2025-07-17,0.020388188161526877
2025-07-18,0.004422738998964892
2025-07-21,0.031735448605237804
2025-07-22,0.032619051503173346
2025-07-23,-0.030094553618089603
2025-07-24,-0.06342277886591013
2025-07-25,0.016815536743370496
2025-07-28,-0.011757975555211464
2025-07-29,-0.007751097848312072
2025-07-30,0.009975234783396014
2025-07-31,0.036402271964741884
2025-08-01,0.0014022650276308002
2025-08-04,0.0027596901543220365
2025-08-05,-0.00842451513705883
2025-08-06,0.0056354511298318255
2025-08-07,-0.0033592601135029043
2025-08-08,-0.0028316142135051403
2025-08-11,-0.0046423852009477296
2025-08-12,0.03013862328128253
2025-08-13,0.044722020493181
2025-08-14,0.01599748221773467
2025-08-15,-0.014081836086229316
2025-08-18,0.06279619167384473
2025-08-19,0.07728500088893431
2025-08-20,0.03420162849623229
2025-08-21,0.030231469315052967
2025-08-22,0.05570404998730935
2025-08-25,0.09150924747438627
2025-08-26,0.09113750533237396
2025-08-27,0.0407444615711572
2025-08-28,0.0170388554882127
2025-08-29,0.03610927391535933
2025-09-02,0.05938407802836077
2025-09-03,0.047871014833703145
2025-09-04,0.04530539311077037
2025-09-05,0.022406825611484753
2025-09-08,0.05811890572793421
2025-09-09,0.04144120994282391
2025-09-10,0.07179682308277256
2025-09-11,0.051112035657392224
2025-09-12,0.03883648701612347
2025-09-15,0.03536464096672774
2025-09-16,0.007195201624354622
2025-09-17,0.016093010699282942
2025-09-18,0.00673621534012914
2025-09-19,0.02627946326741632
2025-09-22,-0.018290841047084946
2025-09-23,-0.022410490839822474
2025-09-24,0.0017925162472934193
2025-09-25,0.008118176117148795
2025-09-26,-0.012641621988174395
2025-09-29,0.014614602612710095
2025-09-30,-0.014746808081289003
2025-10-01,-0.03483836774676631
2025-10-02,-0.04406931569508571
2025-10-03,-0.002191514045812644
2025-10-06,-0.03907535744400852
2025-10-07,0.007737873850584481
2025-10-08,-0.032669976466501396
2025-10-09,-0.03454548578593701
2025-10-10,-0.031059889838630547
2025-10-13,-0.055297004254363534
2025-10-14,-0.027852615102155504
2025-10-15,-0.05372145643377656
2025-10-16,-0.04282617963722045
2025-10-17,-0.04787420449277243
2025-10-20,-0.0703223551461315
2025-10-21,-0.034974493132121004
2025-10-22,-0.06964020268336604
2025-10-23,-0.03617293080193478
2025-10-24,-0.08042150544876407
2025-10-27,-0.09769055997643948
2025-10-28,-0.0838193498808262
2025-10-29,-0.02620168168238171
2025-10-30,-0.10318559091339082
2025-10-31,-0.08145073863617182
2025-11-03,-0.12374805231819476
2025-11-04,-0.07521968535672914
2025-11-05,-0.13382950982115208
2025-11-06,-0.07280948341574871
2025-11-07,-0.12656584845146895
2025-11-10,-0.10723926440182335
2025-11-11,-0.1281396291531417
2025-11-12,-0.046907092118069024
