,g_control
2025-02-14,0.038456075243863186
2025-02-18,0.09737388162126084
2025-02-19,0.11093772928242014
2025-02-20,0.09375873903872195
2025-02-21,-0.045063570932254264
2025-02-24,0.15827530849202825
2025-02-25,-0.08210657718893082
2025-02-26,-0.0305571668294487
2025-02-27,-0.08131113860616065
2025-02-28,0.001664134099925496
2025-03-03,-0.10968973667772297
2025-03-04,-0.0214305669487021
2025-03-05,-0.04106182255794519
2025-03-06,-0.02604040396117957
2025-03-07,-0.15246716892250178
2025-03-10,-0.05166268750386477
2025-03-11,-0.04296716820388885
2025-03-12,-0.059230423072135996
2025-03-13,-0.017851404312092534
2025-03-14,-0.08356445469123103
2025-03-17,-0.09870185797135578
2025-03-18,-0.08638265989992461
2025-03-19,-0.0979137724335506
2025-03-20,-0.15418344541410878
2025-03-21,-0.0977410450050048
2025-03-24,-0.004953016397201859
2025-03-25,-0.05731979867546047
2025-03-26,-0.14737649464998498
2025-03-27,-0.1140935371629595
2025-03-28,-0.19365516555364765
2025-03-31,-0.05372925649061999
2025-04-01,-0.08572294398516589
2025-04-02,-0.12252841160818967
2025-04-03,-0.15247829948954428
2025-04-04,-0.10423431801412886
2025-04-07,-0.26061980165520626
2025-04-08,-0.2851324012789251
2025-04-09,-0.2519427057907785
2025-04-10,-0.16553444915643967
2025-04-11,-0.10011943429162329
2025-04-14,-0.08827835203472428
2025-04-15,-0.1549009424473134
2025-04-16,-0.18882983435609257
2025-04-17,-0.16956929149303346
2025-04-21,-0.16664617480025923
2025-04-22,-0.2156243643692532
2025-04-23,-0.2751402971744115
2025-04-24,-0.14838309740722055
2025-04-25,-0.13612239939207804
2025-04-28,-0.06674018001882587
2025-04-29,-0.08519150701193196
2025-04-30,-0.19828635132516875
2025-05-01,-0.16264141712540875
2025-05-02,-0.1596706985362693
2025-05-05,-0.2043514271932534
2025-05-06,-0.03419462075993851
2025-05-07,-0.11157497284224738
2025-05-08,-0.14569135136625097
2025-05-09,0.006430590772706801
2025-05-12,-0.1611132619916969
