date,label,arm,g
2017-11-01,z,treatment_u,0.13092360051500151
2017-11-02,z,treatment_u,0.15873808857650754
2017-11-03,z,treatment_u,0.04285344915988096
2017-11-06,z,treatment_u,0.04862267190028108
2017-11-07,z,treatment_u,-0.09793487763213726
2017-11-08,z,treatment_u,-0.09975392946603256
2017-11-09,z,treatment_u,0.05465838741254192
2017-11-10,z,treatment_u,-0.02860700288295094
2017-11-13,z,treatment_u,0.29406959540273653
2017-11-14,z,treatment_u,0.33113580713082325
2017-11-15,z,treatment_u,0.37671287243053264
2017-11-16,z,treatment_u,-0.019272517670277156
2017-11-17,z,treatment_u,0.028588411948533995
2017-11-20,z,treatment_u,-0.04414411230189713
2017-11-21,z,treatment_u,0.062357036135817834
2017-11-22,z,treatment_u,0.14981751047390343
2017-11-24,z,treatment_u,0.08448961178248891
2017-11-27,z,treatment_u,0.13769102329755917
2017-11-28,z,treatment_u,0.21336418806647833
2017-11-29,z,treatment_u,0.32981389067487443
2017-11-30,z,treatment_u,0.41803464232753607
2017-12-01,z,treatment_u,0.6726547973205134
2017-12-04,z,treatment_u,0.8479382307142714
2017-12-05,z,treatment_u,0.887753432958759
2017-12-06,z,treatment_u,0.817923478622924
2017-12-07,z,treatment_u,0.6780814371993084
2017-12-08,z,treatment_u,0.7290752718339673
2017-12-11,z,treatment_u,0.7069212794400926
2017-12-12,z,treatment_u,0.7363062881286944
2017-12-13,z,treatment_u,0.6966472364272045
2017-12-14,z,treatment_u,0.6413462998384872
2017-12-15,z,treatment_u,0.6062024403489583
2017-12-18,z,treatment_u,0.620986323864673
2017-12-19,z,treatment_u,0.5968372310529274
2017-12-20,z,treatment_u,0.504405158950973
2017-12-21,z,treatment_u,0.48923480840890615
2017-12-22,z,treatment_u,0.5666369535531136
2017-12-26,z,treatment_u,0.5624652814666964
2017-12-27,z,treatment_u,0.5543801493691228
2017-12-28,z,treatment_u,0.5592364528246516
2017-12-29,z,treatment_u,0.5486629155855111
2018-01-02,z,treatment_u,0.4656890144319761
2018-01-03,z,treatment_u,0.4719986404030249
2018-01-04,z,treatment_u,0.3846025272346797
2018-01-05,z,treatment_u,0.3230403618411143
2018-01-08,z,treatment_u,0.25531373607043195
2018-01-09,z,treatment_u,0.32625708584723867
2018-01-10,z,treatment_u,0.19232248196802593
2018-01-11,z,treatment_u,0.18280331955231846
2018-01-12,z,treatment_u,0.3131375695058255
2018-01-16,z,treatment_u,0.25170523114036936
2018-01-17,z,treatment_u,0.21302838001285837
2018-01-18,z,treatment_u,0.17744876200395815
2018-01-19,z,treatment_u,0.16423555730606448
2018-01-22,z,treatment_u,0.18685880292772697
2018-01-23,z,treatment_u,0.18696659316261421
2018-01-24,z,treatment_u,0.212862384051678
2018-01-25,z,treatment_u,0.1632178124917728
2018-01-26,z,treatment_u,0.12626031820508446
2018-01-29,z,treatment_u,0.030773182642270875
2018-01-30,z,treatment_u,0.22180112076067965
2018-01-31,z,treatment_u,0.14872740907504126
2018-02-01,z,treatment_u,0.09284841018909282
2018-02-02,z,treatment_u,0.3441723373758855
2018-02-05,z,treatment_u,0.26889700882363865
2018-02-06,z,treatment_u,0.1361928520810138
2018-02-07,z,treatment_u,0.5124819477904804
2018-02-08,z,treatment_u,0.44632121562381966
2018-02-09,z,treatment_u,0.44809367492862034
2018-02-12,z,treatment_u,0.39146490125360534
2018-02-13,z,treatment_u,0.22170724919494375
2018-02-14,z,treatment_u,0.04994139033668593
2018-02-15,z,treatment_u,0.07231914727887404
2018-02-16,z,treatment_u,0.12921873240196735
2018-02-20,z,treatment_u,0.28588445565220594
2018-02-21,z,treatment_u,0.15685720633952113
2018-02-22,z,treatment_u,0.14799112736339598
2018-02-23,z,treatment_u,0.43460049251146077
2018-02-26,z,treatment_u,0.46305749264828805
2018-02-27,z,treatment_u,0.5262214871995263
2018-02-28,z,treatment_u,0.275088140407841
2018-03-01,z,treatment_u,0.21348767235103067
2018-03-02,z,treatment_u,0.3019194487094334
2018-03-05,z,treatment_u,0.2564683236382277
2018-03-06,z,treatment_u,0.18145045986236844
2018-03-07,z,treatment_u,0.050606365542982604
2018-03-08,z,treatment_u,0.09008022383862704
2018-03-09,z,treatment_u,0.23987607215361095
2018-03-12,z,treatment_u,0.6196680397524875
2018-03-13,z,treatment_u,0.26739706747718933
2018-03-14,z,treatment_u,0.22609420389453386
2018-03-15,z,treatment_u,0.03586330872340428
2018-03-16,z,treatment_u,0.17059596109017988
2018-03-19,z,treatment_u,0.046068291273037125
2018-03-20,z,treatment_u,0.1547166958683031
2018-03-21,z,treatment_u,0.1714815768824332
2018-03-22,z,treatment_u,0.2447428160618999
2018-03-23,z,treatment_u,0.30133264787323694
2018-03-26,z,treatment_u,0.27290821112449276
2018-03-27,z,treatment_u,0.2988351626328867
2018-03-28,z,treatment_u,0.419516519489041
2018-03-29,z,treatment_u,0.3936471292457444
2018-04-02,z,treatment_u,0.24113869089124185
2018-04-03,z,treatment_u,0.22131862920844853
2018-04-04,z,treatment_u,0.19780051125490342
2018-04-05,z,treatment_u,0.2510099547910996
2018-04-06,z,treatment_u,0.2610814272258562
2018-04-09,z,treatment_u,0.23632197636040483
2018-04-10,z,treatment_u,0.10425778254339291
2018-04-11,z,treatment_u,0.22836523283871732
2018-04-12,z,treatment_u,0.1995088485436372
2018-04-13,z,treatment_u,0.22473135463195226
2018-04-16,z,treatment_u,0.21980411416422616
2018-04-17,z,treatment_u,-0.004045308463351396
2018-04-18,z,treatment_u,-0.011418487985134208
2018-04-19,z,treatment_u,-0.16570373409078196
2018-04-20,z,treatment_u,-0.22839566434354586
2018-04-23,z,treatment_u,-0.1663543306797201
2018-04-24,z,treatment_u,-0.08301762523869824
2018-04-25,z,treatment_u,0.3487095877684881
2018-04-26,z,treatment_u,0.18318058455107536
2018-04-27,z,treatment_u,0.20322371912223014
2018-04-30,z,treatment_u,-0.29744409714323
2018-05-01,z,treatment_u,-0.3998341355137512
2018-05-02,z,treatment_u,-0.35584202262396436
